# Transcript
Audio: data/audio/sample.mp3
Language: en (confidence: 1.00)
Duration: 894.60s

[00:14 -> 00:22] Welcome everyone. I'm going to talk about practical tactics to build reliable AI applications.
  00:14-00:15:  Welcome
  00:15-00:16:  everyone.
  00:17-00:18:  I'm
  00:18-00:18:  going
  00:18-00:18:  to
  00:18-00:18:  talk
  00:18-00:18:  about
  00:18-00:19:  practical
  00:19-00:19:  tactics
  00:19-00:19:  to
  00:19-00:20:  build
  00:20-00:21:  reliable
  00:21-00:22:  AI
  00:22-00:22:  applications.

[00:22 -> 00:30] And why nobody does it this way yet? A little bit about myself or why you should trust me.
  00:22-00:23:  And
  00:23-00:23:  why
  00:23-00:24:  nobody
  00:24-00:24:  does
  00:24-00:24:  it
  00:24-00:25:  this
  00:25-00:25:  way
  00:25-00:25:  yet?
  00:26-00:27:  A
  00:27-00:27:  little
  00:27-00:27:  bit
  00:27-00:28:  about
  00:28-00:28:  myself
  00:28-00:28:  or
  00:28-00:29:  why
  00:29-00:29:  you
  00:29-00:29:  should
  00:29-00:29:  trust
  00:29-00:30:  me.

[00:31 -> 00:39] I've allowed 15 years as a startup co-founder and CEO. I held executive positions for the last five
  00:31-00:31:  I've
  00:31-00:32:  allowed
  00:32-00:32:  15
  00:32-00:32:  years
  00:32-00:33:  as
  00:33-00:33:  a
  00:33-00:33:  startup
  00:33-00:34:  co
  00:34-00:34: -founder
  00:34-00:34:  and
  00:34-00:35:  CEO.
  00:35-00:36:  I
  00:36-00:36:  held
  00:36-00:37:  executive
  00:37-00:38:  positions
  00:38-00:38:  for
  00:38-00:38:  the
  00:38-00:38:  last
  00:38-00:39:  five

[00:39 -> 00:47] years at several enterprises. But most importantly, I spent last couple of years developing a lot of
  00:39-00:39:  years
  00:39-00:39:  at
  00:39-00:40:  several
  00:40-00:41:  enterprises.
  00:42-00:42:  But
  00:42-00:42:  most
  00:42-00:42:  importantly,
  00:43-00:43:  I
  00:43-00:43:  spent
  00:43-00:43:  last
  00:43-00:44:  couple
  00:44-00:44:  of
  00:44-00:44:  years
  00:44-00:45:  developing
  00:45-00:46:  a
  00:46-00:46:  lot
  00:46-00:47:  of

[00:47 -> 00:58] GNI projects, ranging from POCs to many production level solutions and helped some companies to get it done.
  00:47-00:47:  GNI
  00:47-00:48:  projects,
  00:48-00:48:  ranging
  00:48-00:49:  from
  00:49-00:49:  POCs
  00:49-00:50:  to
  00:50-00:51:  many
  00:51-00:52:  production
  00:52-00:52:  level
  00:52-00:54:  solutions
  00:54-00:55:  and
  00:55-00:55:  helped
  00:55-00:56:  some
  00:56-00:57:  companies
  00:57-00:57:  to
  00:57-00:57:  get
  00:57-00:57:  it
  00:57-00:58:  done.

[00:59 -> 01:09] And I've learned or distilled a way to make these applications reliable. And there are quite a lot of
  00:59-00:59:  And
  00:59-01:00:  I've
  01:00-01:00:  learned
  01:00-01:01:  or
  01:01-01:02:  distilled
  01:02-01:02:  a
  01:02-01:02:  way
  01:02-01:02:  to
  01:02-01:03:  make
  01:03-01:04:  these
  01:04-01:04:  applications
  01:04-01:05:  reliable.
  01:06-01:06:  And
  01:06-01:07:  there
  01:07-01:08:  are
  01:08-01:08:  quite
  01:08-01:08:  a
  01:08-01:08:  lot
  01:08-01:09:  of

[01:09 -> 01:21] trucks, this conference about evils and reliability. But to my surprise nobody was talking about the most important things.
  01:09-01:09:  trucks,
  01:10-01:10:  this
  01:10-01:13:  conference
  01:13-01:13:  about
  01:13-01:14:  evils
  01:14-01:14:  and
  01:14-01:15:  reliability.
  01:15-01:15:  But
  01:15-01:16:  to
  01:16-01:16:  my
  01:16-01:17:  surprise
  01:17-01:18:  nobody
  01:18-01:19:  was
  01:19-01:19:  talking
  01:19-01:19:  about
  01:19-01:20:  the
  01:20-01:20:  most
  01:20-01:21:  important
  01:21-01:21:  things.

[01:22 -> 01:33] And we're going to talk about it right now. So, standard software development lifecycle is a very standard simple.
  01:22-01:22:  And
  01:22-01:23:  we're
  01:23-01:23:  going
  01:23-01:23:  to
  01:23-01:23:  talk
  01:23-01:23:  about
