# Transcript
Audio: data/1_audio/sample.mp3
Language: en (confidence: 1.00)
Duration: 894.60s

[00:03 -> 00:22] Welcome everyone. I'm going to talk about practical tactics to build reliable AI applications
  00:03-00:04:  Welcome
  00:15-00:16:  everyone.
  00:17-00:18:  I'm
  00:18-00:18:  going
  00:18-00:18:  to
  00:18-00:18:  talk
  00:18-00:18:  about
  00:18-00:19:  practical
  00:19-00:19:  tactics
  00:19-00:19:  to
  00:19-00:20:  build
  00:20-00:21:  reliable
  00:21-00:22:  AI
  00:22-00:22:  applications

[00:23 -> 00:30] and why nobody does it this way yet. A little bit about myself or why you should trust me.
  00:23-00:23:  and
  00:23-00:23:  why
  00:23-00:24:  nobody
  00:24-00:24:  does
  00:24-00:24:  it
  00:24-00:25:  this
  00:25-00:25:  way
  00:25-00:25:  yet.
  00:26-00:27:  A
  00:27-00:27:  little
  00:27-00:27:  bit
  00:27-00:28:  about
  00:28-00:28:  myself
  00:28-00:29:  or
  00:29-00:29:  why
  00:29-00:29:  you
  00:29-00:29:  should
  00:29-00:29:  trust
  00:29-00:30:  me.

[00:31 -> 00:42] I'm about 15 years as a startup co-founder and CTO. I held executive positions for the
  00:31-00:31:  I'm
  00:31-00:32:  about
  00:32-00:32:  15
  00:32-00:32:  years
  00:32-00:33:  as
  00:33-00:33:  a
  00:33-00:33:  startup
  00:33-00:34:  co
  00:34-00:34: -founder
  00:34-00:34:  and
  00:34-00:35:  CTO.
  00:36-00:36:  I
  00:36-00:36:  held
  00:36-00:37:  executive
  00:37-00:38:  positions
  00:38-00:42:  for
  00:42-00:42:  the

[00:42 -> 00:54] last couple of years developing a lot of projects ranging from POCs to many production-level solutions
  00:42-00:43:  last
  00:43-00:44:  couple
  00:44-00:44:  of
  00:44-00:44:  years
  00:44-00:45:  developing
  00:45-00:46:  a
  00:46-00:46:  lot
  00:46-00:47:  of
  00:47-00:48:  projects
  00:48-00:48:  ranging
  00:48-00:49:  from
  00:49-00:49:  POCs
  00:49-00:50:  to
  00:50-00:51:  many
  00:51-00:52:  production
  00:52-00:52: -level
  00:52-00:54:  solutions

[00:54 -> 01:04] and helped some companies to get it done. I've learned or distilled a way to make these
  00:54-00:55:  and
  00:55-00:55:  helped
  00:55-00:56:  some
  00:56-00:57:  companies
  00:57-00:57:  to
  00:57-00:57:  get
  00:57-00:57:  it
  00:57-00:58:  done.
  00:59-01:00:  I've
  01:00-01:00:  learned
  01:00-01:01:  or
  01:01-01:02:  distilled
  01:02-01:02:  a
  01:02-01:02:  way
  01:02-01:02:  to
  01:02-01:03:  make
  01:03-01:04:  these

[01:04 -> 01:15] applications reliable. There are quite a lot of tracks this conference about evals and reliability
  01:04-01:04:  applications
  01:04-01:05:  reliable.
  01:06-01:07:  There
  01:07-01:08:  are
  01:08-01:08:  quite
  01:08-01:08:  a
  01:08-01:08:  lot
  01:08-01:09:  of
  01:09-01:09:  tracks
  01:09-01:10:  this
  01:10-01:13:  conference
  01:13-01:13:  about
  01:13-01:14:  evals
  01:14-01:14:  and
  01:14-01:15:  reliability

[01:15 -> 01:23] but to my surprise nobody was talking about the most important things and we're going to talk
  01:15-01:16:  but
  01:16-01:16:  to
  01:16-01:16:  my
  01:16-01:17:  surprise
  01:17-01:17:  nobody
  01:17-01:19:  was
  01:19-01:19:  talking
  01:19-01:19:  about
  01:19-01:20:  the
  01:20-01:20:  most
  01:20-01:21:  important
  01:21-01:21:  things
  01:21-01:22:  and
  01:22-01:23:  we're
  01:23-01:23:  going
  01:23-01:23:  to
  01:23-01:23:  talk

[01:23 -> 01:34] about it right now. Standard software development lifecycle is very standard, simple. You design
  01:23-01:23:  about
  01:23-01:24:  it
  01:24-01:24:  right
  01:24-01:24:  now.
  01:26-01:27:  Standard
  01:27-01:27:  software
  01:27-01:28:  development
  01:28-01:28:  lifecycle
  01:28-01:29:  is
  01:29-01:30:  very
  01:30-01:31:  standard,
  01:32-01:33:  simple.
  01:33-01:33:  You
  01:33-01:34:  design

[01:34 -> 01:40] your solution, you develop it, you test it and then eventually you deploy it. When people start
